,national,hor_name,hor_num,sex,age,debut,total_first,total_second,total_game,win_rate,total_game_1yr,total_earn,total_earn_1yr
0,한국,위너스글로리,034094,수,6,20150718,7,2,22,31.8,6,449400000,31500000
1,한국,투어로즈,035911,암,5,20161023,6,3,23,26.1,6,336550000,0
2,한국,금비랑,037489,수,4,20170909,7,3,16,43.8,9,335050000,234250000
3,미국,모르피스,039909,거,4,20171022,5,3,16,31.3,9,348200000,269300000
4,한국,해마루,030002,거,8,20131221,12,3,46,26.1,7,955370000,86600000
5,한국,소통시대,029749,거,8,20130629,10,7,59,16.9,7,935410000,16300000
6,미국,최고머니,038043,거,5,20160625,6,4,25,24,6,401400000,171300000
7,한국,싱그러운검,036100,수,5,20161120,7,4,26,26.9,9,407600000,86900000
8,한국,스페셜어게인,040995,암,2,20190615,0,0,1,0,1,0,0
9,한국,당대짱,040335,암,2,20190615,0,0,1,0,1,0,0
0,한국,탁트인,040386,암,2,20190615,0,1,1,0,1,15750000,15750000
1,한국,케이엔로드,040917,수,2,20190615,0,0,1,0,1,9750000,9750000
2,한국,럭키법전,041118,수,2,20190615,0,0,1,0,1,3750000,3750000
3,한국,금아콜로설,040611,수,2,20190615,0,0,1,0,1,3000000,3000000
4,한국,강호제일,040943,수,2,20190615,0,0,1,0,1,0,0
5,한국,봄날의기억,040621,수,2,20190615,0,0,1,0,1,0,0
6,한국,백학,040356,암,2,20190615,0,0,1,0,1,0,0
7,한국,장수나봄,041500,수,2,20190615,0,0,1,0,1,0,0
8,한국,구름왕자,038452,수,3,20180714,5,2,10,50,10,205650000,205650000
9,한국,킹메신저,035675,수,5,20160904,4,3,20,20,7,190750000,94950000
0,한국,베스트라인,039357,수,3,20180908,3,2,7,42.9,7,124350000,124350000
1,한국,스타파워,035099,거,5,20161113,3,1,22,13.6,9,157250000,97050000
2,한국,아멘다,037021,암,4,20170813,3,4,21,14.3,10,191500000,107100000
3,한국,주먹도끼,037637,거,4,20170923,3,1,18,16.7,10,118880000,49800000
4,한국,와일드드래곤,037620,수,4,20170916,4,1,16,25,9,152210000,123450000
5,한국,대한챔프,038835,수,3,20181222,1,0,4,25,4,13680000,13680000
6,한국,웅담포,036896,수,4,20180722,0,0,8,0,8,0,0
7,한국,사우스반,039255,암,3,20181216,0,0,6,0,6,1200000,1200000
8,한국,블루밴드,039066,암,3,20190316,0,0,4,0,4,2560000,2560000
9,한국,퍼펙트플라잉,039366,암,3,20190127,0,0,4,0,4,0,0
0,한국,제이엔리,039542,거,3,20180916,0,0,9,0,9,960000,960000
1,한국,호크의영광,039119,수,3,20190223,0,0,5,0,5,0,0
2,한국,아라시,039052,거,3,20180902,0,0,7,0,7,0,0
3,한국,허쉬대보,038599,수,3,20190526,1,0,2,50,2,24400000,24400000
4,한국,이글아이,038939,암,3,20190414,0,1,3,0,3,10400000,10400000
5,한국,스마트군황,038806,수,3,20190421,0,0,2,0,2,10400000,10400000
6,한국,크레이지퀸,039601,암,3,20190310,0,1,4,0,4,12000000,12000000
7,한국,배다리서미트,038846,수,3,20190303,0,0,2,0,2,1600000,1600000
8,한국,함양상림,038811,암,3,20190105,0,0,3,0,3,0,0
9,한국,대군사랑,039235,암,3,20190302,0,0,5,0,5,1600000,1600000
0,한국,컬러즈드라고,038601,암,3,20181222,0,0,5,0,5,6800000,6800000
1,한국,원더풀딕시,039001,수,3,20180908,2,1,8,25,8,102800000,102800000
2,한국,창성럭키,037344,수,4,20180527,2,2,9,22.2,8,53920000,51920000
3,한국,더프리마,037998,암,4,20171125,2,1,10,20,8,66000000,40200000
4,한국,그린케이,036981,암,4,20171021,3,1,15,20,7,122550000,15600000
5,한국,갈잎,039151,암,3,20180701,2,0,8,25,7,59480000,59480000
6,한국,라온윌리엄스,038519,암,3,20180701,2,0,10,20,9,53750000,53750000
7,한국,큐피드닥터,036009,암,5,20170723,2,3,12,16.7,7,85560000,27600000
8,한국,언디피티드,037022,수,4,20180505,2,3,16,12.5,13,106600000,70200000
9,한국,제주의바람,037739,암,4,20180106,2,2,14,14.3,8,77150000,16350000
0,한국,빅토리킹,038550,거,3,20181104,1,2,7,14.3,7,46800000,46800000
1,한국,미스터히어로,039772,수,3,20180908,1,0,5,20,5,25800000,25800000
2,한국,태풍아이즈,037250,수,4,20180512,1,1,11,9.1,9,36880000,35280000
3,한국,블랙파티,039283,암,3,20181222,1,2,6,16.7,6,49200000,49200000
4,한국,큐피드플라잉,039106,수,3,20181208,1,0,6,16.7,6,30000000,30000000
5,한국,미스평촌,035591,암,5,20170218,1,0,22,4.5,8,44400000,18400000
6,미국,캐논슈터,041693,암,3,20180812,0,1,9,0,9,11400000,11400000
7,한국,창성진주,034033,암,6,20151010,1,2,36,2.8,11,55800000,6800000
8,미국,요리조리,039994,암,4,20171202,1,1,13,7.7,9,70650000,60900000
9,미국,대군의검,041684,수,3,20181006,0,2,6,0,6,36000000,36000000
0,호주,달려라레오,036445,암,5,20160326,1,2,30,3.3,11,98700000,28800000
1,미국,릴패트론,041871,거,3,20190216,0,1,5,0,5,21750000,21750000
2,미국,문학의전사,041791,수,3,20190126,0,0,4,0,4,6000000,6000000
3,미국,본능대로,041768,거,3,20190302,0,0,5,0,5,2400000,2400000
4,미국,청수여제,041781,암,3,20181103,0,0,4,0,4,0,0
5,한국,상비군,033866,거,6,20160528,1,5,38,2.6,10,100200000,13600000
6,한국,레이즈미업,037888,암,4,20170701,1,2,22,4.5,10,48600000,12400000
7,한국,명진맨,036847,거,4,20180331,1,2,12,8.3,9,51680000,44480000
8,한국,라이즈앤샤인,037720,암,4,20171021,2,0,20,10,11,45280000,45280000
9,한국,세렌체,034951,수,5,20170204,1,2,9,11.1,3,33340000,12400000
0,한국,금아슈프림,038660,거,3,20190120,1,0,5,20,5,18480000,18480000
1,한국,아델의꿈,036941,수,4,20171029,0,2,14,0,9,39840000,25840000
2,한국,금빛탄환,038817,수,3,20180728,0,1,9,0,9,20040000,20040000
3,한국,블랙윙윙,038976,암,3,20181104,0,1,7,0,7,26120000,26120000
4,한국,과천히어로,037628,거,4,20180120,0,2,13,0,6,22080000,5200000
5,한국,박차오름,039114,암,3,20180915,5,2,9,55.6,9,201900000,201900000
6,호주,크레이지위키,041578,수,3,20180715,2,3,11,18.2,11,123300000,123300000
7,미국,매치캡틴,041687,수,3,20180818,1,1,8,12.5,8,50550000,50550000
8,미국,엉클오,041795,수,3,20181118,2,0,5,40,5,100050000,100050000
9,미국,와일드파이트,040112,거,3,20181222,2,0,6,33.3,6,78600000,78600000
0,미국,올댓스피드,038112,수,5,20161218,2,1,17,11.8,5,109800000,16500000
1,미국,태양의후예,036582,거,5,20160828,3,2,20,15,7,192750000,55800000
2,미국,위대한전사,038032,거,5,20160731,3,2,25,12,8,189000000,0
3,미국,플라잉뮤닝,039806,거,4,20170701,2,5,15,13.3,9,214200000,181500000
4,한국,클린업시크릿,037851,수,4,20170715,5,2,18,27.8,10,221300000,152400000
5,미국,붕마드림,034853,거,6,20150614,1,6,33,3,7,191800000,9000000
6,미국,스모키베일,038097,수,5,20160813,3,2,34,8.8,10,216450000,11700000
7,한국,크레모아파워,037007,거,4,20170730,5,1,20,25,11,190040000,145500000
8,한국,야호선샤인,032076,수,7,20140831,9,4,48,18.8,11,536150000,7500000
9,한국,정안킹덤,035919,수,5,20170107,6,4,35,17.1,12,302300000,80700000
0,미국,블루울프,039939,암,4,20171022,3,1,14,21.4,8,166800000,127200000
1,한국,프리마니케,038908,암,3,20181117,1,1,8,12.5,8,44640000,44640000
2,한국,슈퍼빅터,039672,암,3,20181117,0,0,6,0,6,7600000,7600000
3,한국,라온한니발,039244,암,3,20190406,0,0,2,0,2,2000000,2000000
4,한국,골드레벨,038830,암,3,20181208,0,1,7,0,7,13200000,13200000
5,한국,올마이퀸,039111,암,3,20181222,0,0,7,0,7,0,0
6,한국,호크아리랑,039115,암,3,20190223,0,0,5,0,5,1600000,1600000
7,한국,어린왕자,035203,수,5,20160626,2,4,29,6.9,8,137800000,49800000
8,한국,원더풀이블,038596,수,3,20180707,3,2,11,27.3,10,137380000,134380000
9,한국,대변화,037840,거,4,20170826,2,1,16,12.5,13,62740000,50200000
0,한국,스피드영웅,037544,거,4,20170910,2,4,17,11.8,9,116800000,90400000
1,한국,라온돌풍,037087,거,4,20171028,0,3,22,0,13,65060000,46600000
2,한국,사이먼리치,035607,수,5,20170429,3,1,30,10,16,101200000,51600000
3,한국,광야불기둥,035058,암,5,20161211,1,3,25,4,11,75000000,15600000
4,한국,제주의흑선,037212,암,4,20171125,1,3,19,5.3,10,81840000,34200000
5,한국,장산파워,035943,수,5,20161126,8,0,22,36.4,8,498900000,168800000
6,한국,영롱,034397,수,6,20160227,6,4,29,20.7,5,348550000,46200000
7,미국,청담제왕,039855,수,4,20170923,3,5,18,16.7,10,256550000,195800000
8,한국,신규강자,031882,거,7,20140706,10,5,47,21.3,10,691720000,64000000
9,한국,피케이파티,036818,암,4,20170527,7,1,13,53.8,2,458200000,0
0,한국,라온매직,035580,거,5,20170114,8,0,17,47.1,7,331800000,81400000
1,한국,탑뮤직,038482,거,3,20190223,1,0,4,25,4,16080000,16080000
2,한국,행복의내일,039117,암,3,20180902,0,0,11,0,11,1200000,1200000
3,한국,푸에르스페스,037722,수,4,20180324,0,0,7,0,7,3120000,3120000
4,한국,퍼스트선더,037245,수,4,20171111,0,0,12,0,12,3760000,3760000
5,한국,그린파크,037305,암,4,20180519,0,0,9,0,9,2960000,2960000
6,한국,천지기상,038917,수,3,20180714,0,0,10,0,10,5520000,5520000
7,한국,인천라이언,039568,수,3,20181202,0,0,6,0,6,960000,960000
8,한국,스마티블루,037793,수,4,20180325,2,2,9,22.2,6,84600000,53400000
9,미국,관악함성,038110,거,5,20161112,0,2,26,0,9,59600000,35400000
0,미국,청담타이거,039848,거,4,20170923,1,1,14,7.1,10,60000000,57600000
1,한국,와와여장부,035661,암,5,20170122,2,3,21,9.5,8,117170000,3000000
2,미국,위즈레이니어,039961,거,4,20170916,0,0,12,0,6,18000000,15600000
3,미국,투게더허그,038117,암,5,20161127,1,2,26,3.8,10,104400000,7800000
4,한국,웰빙스토리,033762,수,6,20151031,3,0,33,9.1,10,115200000,8400000
5,미국,서울시대,041696,수,3,20181006,1,0,11,9.1,11,34200000,34200000
6,한국,승리나래,036805,거,4,20171223,2,1,14,14.3,9,79000000,31200000
7,한국,강철시대,033474,수,6,20150718,2,3,38,5.3,9,108000000,0
8,미국,스트롱큐피드,041757,암,3,20181027,0,0,8,0,8,0,0
9,한국,엘초이스,037103,암,4,20180429,1,1,7,14.3,5,47800000,25000000
0,한국,파티파워,033142,암,6,20160116,2,3,52,3.8,14,123200000,29800000
1,한국,캠프터치,037248,암,4,20171209,0,2,12,0,9,33400000,19800000
